BatchID,n_points,t_min,t_max,n_fixed,lambda,tau,beta,sse_min,nll_min,nll_thresh_95,success,nfev,message
F14,10,0.0,420.0,1.0,0.0036449031228015993,25.03559262440455,0.4190250085475464,0.0008504638501247252,-32.67218338939456,-30.75218338939456,True,30,`ftol` termination condition is satisfied.
F11,10,0.0,420.0,1.0,0.012372677741917457,1.0000000000000016e-05,3.379157380146155,0.018784610816243587,-17.197126722746575,-15.277126722746575,True,14,`ftol` termination condition is satisfied.
F25,10,0.0,420.0,1.0,0.700797479096498,0.00020773950510131437,1.8830462420042506,6.864663165504666e-05,-45.25623259507561,-43.33623259507561,True,15,`gtol` termination condition is satisfied.
F37,10,0.0,420.0,1.0,0.06937856345557225,1.000000000010212e-05,2.738611692601814,0.007737784130949513,-21.631739734722256,-19.711739734722258,True,23,`ftol` termination condition is satisfied.
F54,10,0.0,420.0,1.0,0.0021372685077406207,5.51211285042493,0.1928183567332526,0.000311075815330405,-37.70090961440808,-35.78090961440808,True,27,`gtol` termination condition is satisfied.
