BatchID,param,grid_value,grid_log,nll_prof,nll_min,nll_thresh_95,sse_min,n_fixed
F14,lambda,9.999999999999997e-06,-11.512925464970229,7.253337339249974,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,1.2660983406193906e-05,-11.276985466050672,7.241378262263871,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,1.6030050081191778e-05,-11.041045467131113,7.226216414640827,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,2.0295619807842675e-05,-10.805105468211554,7.206987093794895,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,2.56962505605517e-05,-10.569165469291995,7.182587888322727,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,3.25339801948546e-05,-10.333225470372438,7.15161072358311,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,4.119121833844954e-05,-10.097285471452881,7.1122528742774085,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,5.215213318640208e-05,-9.861345472533323,7.062199444429638,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,6.602972928706525e-05,-9.625405473613764,6.998466537206809,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,8.360013068190106e-05,-9.389465474694205,6.917189263233682,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.00010584598673191915,-9.153525475774648,6.813330655546879,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.00013401142816250514,-8.91758547685509,6.680274281031437,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.00016967164682058248,-8.681645477935533,6.509240743435393,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.00021482099048969922,-8.445705479015974,6.288428274469766,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.0002719844995892226,-8.209765480096415,6.0017035107920425,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.0003443591236041105,-7.973825481176857,5.626523756745781,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.00043599251497231236,-7.737885482257299,5.130470428355627,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.0005520093997289201,-7.5019454833377415,4.465094065695327,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.0006988981850030924,-7.266005484418184,3.5540831540336044,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.0008848738322943209,-7.030065485498625,2.2679999111153784,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.0011203372907253619,-6.794125486579067,0.3617637810938734,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.001418457184721406,-6.558185487659509,-2.719165926173689,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
F14,lambda,0.0017959062878154283,-6.32224548873995,-8.737297827511249,-32.67218338939456,-30.75218338939456,0.0008504638501247252,1.0
