hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,gamma,mean_rmse,std_rmse,median_best_epoch,optimizer,seed,diluent_encoding,prior_mode,tau_fixed_value,forward_method,t0_as_initial_condition,sigma_main,t0_atol,reg_csv
30,3,swish,0.0,True,0.011499699581117495,0.0006587295592720864,0.042580812796950335,0.013057941866060671,190,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
49,5,swish,0.0,True,0.01789747787233725,0.0020321147754585435,0.04591427519917488,0.014720343921949597,52,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
49,5,swish,0.0,True,0.011261680621409354,0.00028932614316102764,0.04321570917963982,0.011034150012029516,101,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
44,5,swish,0.0,True,0.019246831928972474,0.0015440451475502227,0.04515839293599129,0.008206042772144775,177,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
57,5,mish,0.0,True,0.009091395787788463,0.0062637012003812645,0.04250567927956581,0.00815650282990844,76,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
55,5,swish,0.0,True,0.005259258566644163,0.0007417860692477679,0.04690476134419441,0.01729566243397353,74,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
24,3,swish,0.0,True,0.015291373489541675,0.00020496462893395355,0.038819211348891255,0.006321217157660991,104,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
24,3,swish,0.0,True,0.023455469135884845,0.00019760589844990934,0.04133402407169342,0.007825412502656129,33,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
15,3,swish,0.2,True,0.00899687048572478,0.0002096770915455615,0.06209815889596939,0.02294979539789617,114,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
35,2,mish,0.1,True,0.0026711076158778264,0.0004457302719037452,0.0598736509680748,0.016296349446245386,223,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
16,3,mish,0.2,True,0.014940852332015909,0.3284607445905224,0.049335225671529766,0.01130460802101592,203,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
29,3,swish,0.0,True,0.01216504554084628,0.0009168362497945096,0.044815202802419664,0.00900666047060418,71,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
38,2,swish,0.0,True,0.0010317864732029619,0.0028865603191445184,0.05914866104722024,0.02038366260443046,410,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
22,5,swish,0.0,True,0.0079348921382353,0.0001693717958310192,0.04524796418845654,0.015781240318258883,190,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
25,3,swish,0.0,True,0.015197027237961356,0.0012705002909433525,0.0418341264128685,0.007756023988086831,57,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
32,5,swish,0.0,True,0.022353873766418408,0.00044144861307899197,0.04781331717967987,0.011155887120969292,41,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
45,4,leakyrelu,0.0,True,0.01057613153540465,0.048518679615777896,0.056526809185743335,0.02663170428294168,106,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
64,2,leakyrelu,0.1,True,0.004973534962373767,0.00017034534705283303,0.04471913278102875,0.008408200939166369,173,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
18,4,swish,0.2,True,0.0484956672959111,0.0010043832473101068,0.0594866544008255,0.012485263166973971,80,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
53,5,swish,0.0,True,0.013602596790150748,0.00030301762525121326,0.037982846051454536,0.005099749284436654,99,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
38,3,leakyrelu,0.2,True,0.0027137309184660213,0.0002984276537356489,0.06355850920081138,0.020834666292566133,211,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
54,5,swish,0.0,True,0.013979978982992755,0.9133709247818144,0.048342614993453034,0.015845499061359552,32,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
51,5,swish,0.0,True,0.0245375883616483,0.0004145276829551495,0.0488830029964447,0.015705612796612443,115,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
23,5,swish,0.0,True,0.017612150060119038,0.0001281732002523888,0.04449174329638481,0.009630501313738656,55,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
47,5,gelu,0.0,True,0.010000362799501313,0.009370150212321706,0.041752808541059484,0.006320283139972983,76,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
27,4,swish,0.0,True,0.007512812501938151,0.00243931436504242,0.0477959893643856,0.02305883052773646,212,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
52,5,swish,0.1,True,0.033295030932742026,0.00025380303885710084,0.059549266844987875,0.007585118798644248,66,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
60,3,gelu,0.0,True,0.005758692314480396,0.0006572663407806603,0.04316631481051445,0.010658461962855149,48,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
41,2,swish,0.0,True,0.014293916717004203,0.00013302415444429528,0.05125561505556107,0.01296511403532915,53,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
58,5,mish,0.0,True,0.012760303686781898,0.0003294522944634767,0.04596877619624138,0.013948770444039334,72,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
13,3,swish,0.0,True,0.01946366848032849,0.001081615153442233,0.049438783153891566,0.023183079749481528,144,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
27,3,gelu,0.0,True,0.0059137266469371464,0.0005538550503787897,0.04370692484080792,0.008258121627344659,70,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
21,3,gelu,0.0,True,0.006525252822181211,0.0017152445470121904,0.048862519860267635,0.0157621891251072,59,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
20,3,gelu,0.0,True,0.004647489387873482,0.003449783098351997,0.042756412923336026,0.006669544466861186,57,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
31,3,gelu,0.0,True,0.008523029297766539,0.0007674592394508175,0.04202394895255567,0.00970056055904148,88,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
28,5,swish,0.0,True,0.0070227895092855605,0.00022197019560234516,0.03771861381828785,0.007547987675200813,72,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
28,5,swish,0.0,True,0.01653080183652449,0.0002277114838098251,0.04117491841316223,0.0072185230496986785,67,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
16,5,swish,0.1,True,0.010103273128792405,0.00011055278260491265,0.05514948517084122,0.017911651047962898,103,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
25,5,swish,0.0,True,0.011445542259250624,0.0004178537457562064,0.041128719598054884,0.012458716634677321,110,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
23,5,swish,0.2,True,0.006810339207169011,0.00015938682667516059,0.048085480183362964,0.009981957095783449,197,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
34,5,swish,0.0,True,0.0035147626901757033,0.0003084048317742503,0.049702878296375284,0.022031442978726532,91,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
26,3,gelu,0.0,True,0.007467064780170264,0.0005519418749116102,0.040657781064510345,0.005778422835805208,67,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
37,5,swish,0.0,True,0.01297034001775385,0.0002335841169136357,0.049379564821720116,0.01936183238733134,70,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
19,3,swish,0.0,True,0.009540706100622765,0.0008100297260340876,0.04766735695302486,0.02257401657594996,164,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
30,5,leakyrelu,0.0,True,0.0045168621354187465,0.0014503326632601995,0.05787281766533851,0.02592546721357325,234,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
54,4,mish,0.0,True,0.008175435345589309,0.00010038724898765859,0.04170227535068989,0.006938060966237085,180,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
24,3,swish,0.0,True,0.016156957628147953,0.0005803028634642568,0.044152893126010895,0.011278308148339009,88,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
41,2,swish,0.0,True,0.005448095701374147,0.02476698076760897,0.05065911188721657,0.007712012524793432,71,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
47,5,swish,0.1,True,0.006491475086745062,0.00018210693647589249,0.04983750730752945,0.01476254591750182,92,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
22,3,gelu,0.0,True,0.0032330388103255256,0.00034649910697247835,0.05447034910321237,0.01906577666601756,77,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
28,5,swish,0.2,True,0.02133110344214744,0.0004067594907842594,0.0441694624722004,0.007516577385414751,98,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
27,3,gelu,0.0,True,0.007347085190548296,0.0005906257380961226,0.043097223341465,0.0021208445935285668,49,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
26,3,gelu,0.0,True,0.02720675145544493,0.00023451452190820243,0.04455502480268479,0.0076787395570365935,115,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
25,3,gelu,0.0,True,0.010818180330786421,0.0004814029136746354,0.041724048554897315,0.005596409475712674,79,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
32,3,gelu,0.0,True,0.008871322598236886,0.0010368314822929733,0.0403836578130722,0.004091229775002836,49,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
31,3,leakyrelu,0.0,True,0.008922928961970798,0.0020347108408120397,0.04878019988536834,0.009674888395669663,76,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
36,5,swish,0.0,True,0.01251634441423158,0.0010599377034904924,0.048015288263559344,0.019579461259576787,90,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
32,3,gelu,0.0,True,0.0016056501140951564,0.0065435385909333324,0.0521270602941513,0.02005067695579547,194,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
29,4,mish,0.0,True,0.013826490881440692,0.00015137474799042285,0.0399976409971714,0.006637195172250727,67,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
29,4,mish,0.0,True,0.019940721350761283,0.00012615377599583676,0.04237829297780992,0.0062419221545631405,93,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
21,4,mish,0.0,True,0.013547079229637498,0.00015379129664298884,0.04220284856855869,0.009343643623589607,100,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
33,4,mish,0.0,True,0.011935650875022932,0.0002062185828313063,0.04062855839729309,0.00825575078540368,100,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
23,4,mish,0.0,True,0.015552548743899063,0.00027312559812624296,0.04185417853295803,0.007118225914059979,40,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
39,4,swish,0.0,True,0.009714897384225143,0.0003756806185654623,0.047564427554607394,0.02117622757358873,46,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
30,5,swish,0.0,True,0.017511666792656894,0.0007356983425753832,0.04131049737334251,0.010594315006274306,128,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
56,2,mish,0.0,True,0.006218099263705521,0.000920217033690944,0.04872932881116867,0.007619361316496576,74,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
43,3,swish,0.1,True,0.008210489713691252,0.0001903538961101531,0.04832454174757004,0.008850589681962092,98,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
