Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,lambda_q025,lambda_q16,lambda_med,lambda_q84,lambda_q975,beta_q025,beta_q16,beta_med,beta_q84,beta_q975,n_q025,n_q16,n_med,n_q84,n_q975,tau_q025,tau_q16,tau_med,tau_q84,tau_q975
S3_tau_fixed_1_n1,F75,10,0.0,420.0,0.6693055555555555,0.011567104004686584,0.0017550827633469991,0.001815711055415905,0.001902530871655794,0.0020335972919333233,0.0021986854316479593,0.0073811603576614294,0.04441523123020099,0.14941913865145143,0.3146717898744935,0.5131840724347663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F76,10,0.0,420.0,0.6944583333333334,0.02166346466671279,0.0021211149970071824,0.0021720644119482364,0.0022324231888567834,0.002310229512700938,0.0024148179387222988,0.002860592257400568,0.012862312458954462,0.045190255524828846,0.10681473315523697,0.18936271507417743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F77,10,0.0,420.0,0.6918541666666665,0.023294057062903963,0.0024763424657825543,0.002541150099466603,0.002616411507947013,0.0027162680533168587,0.002847450128286438,0.0028075460271072693,0.014116021295258166,0.049740485302184445,0.11808767925657439,0.19904591167069255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F78,10,0.0,420.0,0.6795277777777778,0.012076992936555953,0.0019013380145766119,0.001957542239383563,0.0020348010145525156,0.002146010591724077,0.0022820529304868847,0.005312028927982674,0.02946794995699508,0.09951632036055216,0.21501971433792055,0.35802061295467014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F79,10,0.0,420.0,0.684625,0.01166833976052559,0.0019835334924046648,0.002039301808665132,0.0021112432922166277,0.002214293068032661,0.0023472736769391584,0.004556245880606395,0.02357375227099786,0.07912443841274358,0.1766130179102385,0.30040693513404215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F8,10,0.0,420.0,0.7155208333333333,0.04951009145109903,0.009121172116262415,0.010762727154096596,0.012860931411827679,0.015522617603306458,0.01873228710520362,2.5439404623010184,2.8528167869216583,3.1839751375040355,3.5414650547982784,3.90758737900783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F80,10,0.0,420.0,0.6857361111111112,0.014878822241236522,0.0017480705284508543,0.001801144553987196,0.0018665839192742095,0.001960252876523746,0.0020900389392385535,0.00450926922801293,0.02462238334094554,0.08660772374117295,0.2028991037215707,0.36436214242063075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F81,10,0.0,420.0,0.6991319444444445,0.022596894217192093,0.0022133150196510434,0.0022629695391667903,0.002319690027045434,0.0023903488832321654,0.002479204956570738,0.002166289510338264,0.009108729934228165,0.032244078732848375,0.07976904435118666,0.14519916121553056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F82,10,0.0,420.0,0.694375,0.015863048261037193,0.0023391874838634926,0.0024692999298860222,0.0026199604448341176,0.002793121959877802,0.0029823781662531718,0.06480160168598363,0.15121538340442106,0.25239892755042004,0.36381562743063434,0.4822974204368746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F83,10,0.0,420.0,0.6876805555555556,0.015613057444027975,0.0019227512998802414,0.0019757046388518226,0.0020400303457357325,0.002129964299254374,0.00225061252574341,0.003690469362281385,0.01935619162803109,0.0680296600116182,0.15810446291189298,0.27917719416309195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F84,10,0.0,420.0,0.67875,0.009522620204750792,0.001984396605064661,0.0020403676491452484,0.002116856012304628,0.002226965556684159,0.0023700228897590553,0.005113114889438371,0.02659192845724237,0.0900367048659691,0.1953697670690427,0.3271044865981589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F85,10,0.0,420.0,0.6755625000000002,0.011098911273637418,0.00140088845688242,0.0014615543952968013,0.001543036209775369,0.0016685633142626763,0.0018364014861271497,0.012369928715578671,0.06708471339642544,0.21970162014542877,0.47743574873833194,0.7992525019930997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F86,10,0.0,420.0,0.6850902777777778,0.015115088994351494,0.0015229571920857474,0.0015765094378059588,0.001645709874000543,0.0017479924843663423,0.0018831319090178305,0.007199261148534225,0.03906699907905428,0.1376762492230489,0.31313520957374597,0.5402823952889929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F87,10,0.0,420.0,0.6851666666666668,0.014916904897121414,0.0014827321562546274,0.0015363052075758631,0.001604368928699237,0.0017033282923726994,0.0018388678052663932,0.0063814258174509095,0.036569677625162965,0.13668021697418506,0.32080676185687157,0.558997658220272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F88,10,0.0,420.0,0.6741875,0.010299323437997384,0.0015858153744954626,0.0016436734687085076,0.0017243673615637463,0.00184654059420864,0.0020051266080669005,0.008248365505358962,0.048355376679304486,0.16488999531277,0.35747041504750815,0.597587466998727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F89,10,0.0,420.0,0.6727222222222222,0.010690892980338856,0.0014381789569776222,0.001496942931524042,0.0015773992119268842,0.0017034765743980187,0.0018747763010971744,0.01018527613082705,0.058713245843621954,0.20066733987614194,0.4489803296211886,0.759742026720117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F9,10,0.0,420.0,0.648125,0.009902371672162156,0.0009392086058918955,0.0010401309614967557,0.00122557331154333,0.0015226023887369756,0.001989595430069011,0.09307794284086132,0.5901810207590186,1.5022560004316685,2.7281424794572633,4.200578555573625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F90,10,0.0,420.0,0.6746180555555555,0.009224622898739362,0.001519511162313326,0.0015832908614086439,0.0016753329052056236,0.0018125568230385853,0.001984271221701216,0.012432956584239289,0.07150250805066255,0.22849439855069523,0.4648968806774457,0.7452090492532651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F91,10,0.0,420.0,0.6851597222222221,0.016062580806406976,0.0014625452732178362,0.001516614124872028,0.0015830391511434247,0.0016798461913308759,0.0018171451868299541,0.0065922147549996295,0.036679127813534135,0.13445479160228346,0.3191452660704743,0.5641808787526399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
