Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,lambda_q025,lambda_q16,lambda_med,lambda_q84,lambda_q975,n_q025,n_q16,n_med,n_q84,n_q975,tau_q025,tau_q16,tau_med,tau_q84,tau_q975,beta_q025,beta_q16,beta_med,beta_q84,beta_q975
S4_lambda_only_tau1_beta1_n1,F75,10,0.0,420.0,0.8076319444444445,0.04181528110141987,0.002399758409946151,0.0024880226428243436,0.00258089112590203,0.0026733738426460026,0.0027676027854394354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F76,10,0.0,420.0,0.8077916666666667,0.07834956301106376,0.0031771687113188642,0.00328247388771015,0.003394257215167569,0.0035097882020757964,0.003625683472511822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F77,10,0.0,420.0,0.8055694444444444,0.08960676945803821,0.003966137141958149,0.004096269375964546,0.004231995321383406,0.0043740962150181925,0.0045149220870247505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F78,10,0.0,420.0,0.8070763888888889,0.053706643194378983,0.002703900410025743,0.0027964394916771525,0.0028967809590171962,0.002998973849674339,0.003099390467881092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F79,10,0.0,420.0,0.8083055555555555,0.05980528338755661,0.002882014628443484,0.002982763358716701,0.0030872124670832902,0.0031943668920019976,0.003302025924806723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F8,10,0.0,420.0,0.8054444444444444,0.08763788812477406,0.0037081736256964065,0.003841248602038215,0.00398546036409966,0.004134230779922604,0.004286030929465736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F80,10,0.0,420.0,0.8070138888888888,0.05002350294256534,0.0024022973620670264,0.0024862659790871535,0.0025772419523607554,0.002671856899723762,0.0027662562491053548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F81,10,0.0,420.0,0.806861111111111,0.0879292982712359,0.0033916483504816226,0.003504750806137067,0.0036219319940614574,0.003743369193057123,0.0038636730655846096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F82,10,0.0,420.0,0.8089027777777779,0.05625320010616421,0.0035197779548607902,0.003636903649615111,0.003760118859878027,0.003886323391843858,0.004013647310557309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F83,10,0.0,420.0,0.8057361111111113,0.06070163645303125,0.0027523444713242837,0.0028468515759717114,0.0029481706456875307,0.0030520333705930376,0.0031566591197764757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F84,10,0.0,420.0,0.8065138888888889,0.056506261827346096,0.0028869011106200516,0.002984184516149465,0.003088114975288431,0.0031968748340686095,0.0033044292652941987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F85,10,0.0,420.0,0.8097361111111111,0.029226407519997093,0.0017644730622779223,0.0018367489185015192,0.001913555191735944,0.0019899998694419773,0.0020663194811683405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F86,10,0.0,420.0,0.8074583333333333,0.03959221476541996,0.001973076436479639,0.0020491642711478624,0.002128818633864411,0.002212623183079728,0.0022961107310415026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F87,10,0.0,420.0,0.8079999999999999,0.038358729498940924,0.00190604283015735,0.0019817706402484305,0.0020606727952036104,0.002142340262490148,0.0022220437133805082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F88,10,0.0,420.0,0.8062777777777779,0.036208491450180236,0.0020832683369003185,0.002163326404261843,0.002248027803169906,0.0023338911100703355,0.002419952675467285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F89,10,0.0,420.0,0.8065833333333332,0.03063810259055458,0.0018245232749368662,0.0018973712037182702,0.0019753662415295326,0.0020548225137594607,0.002135121966304821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F9,10,0.0,420.0,0.8085833333333333,0.007962201683997977,0.0010083816757889138,0.0010654118976251095,0.0011257365814290594,0.0011870920231325645,0.0012495117131574242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F90,10,0.0,420.0,0.8061319444444445,0.030306946334551978,0.00195579325901434,0.002034475672857291,0.0021159528660380502,0.0021994480946462397,0.002283458265741306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F91,10,0.0,420.0,0.8071180555555556,0.038768239736637185,0.0018690330177812825,0.0019455265178585312,0.0020248869583298513,0.002106321574386556,0.0021832757329849064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
