loss_mode,diluent_encoding,hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse,optimizer,use_scheduler,rel_eps
absolute,onehot,35,4,mish,0.2,True,0.0441867742475447,0.0572369614655978,0.0142216387287899,adam,True,
absolute,onehot,34,4,mish,0.2,True,0.0363395365585582,0.0550198860086417,0.0195126900362038,adam,True,
absolute,onehot,34,4,mish,0.2,True,0.0372487518427291,0.0609049692309909,0.0252281785567496,adam,True,
absolute,onehot,35,4,tanh,0.2,True,0.0286376488492968,0.0680381247674459,0.0124342259199215,adam,True,
absolute,onehot,34,4,mish,0.2,True,0.048531881092868,0.0580230108336014,0.0165156711451146,adam,True,
absolute,onehot,31,4,mish,0.2,True,0.0342330172924376,0.0573781672169109,0.0127543915756555,adam,True,
absolute,onehot,36,4,mish,0.2,True,0.0418422623819009,0.0540364535827777,0.0184265112485905,adam,True,
absolute,onehot,36,4,mish,0.2,True,0.0227952476715816,0.0570140407995219,0.0209376221904802,adam,True,
absolute,onehot,35,4,mish,0.2,True,0.040505200280484,0.0471766666470079,0.0104738020199433,adam,True,
absolute,onehot,35,4,mish,0.2,True,0.0428890104948049,0.0563078237780507,0.009264508494578,adam,True,
absolute,onehot,36,4,gelu,0.2,True,0.0296049926737566,0.0677547169982088,0.0249721164084908,adam,True,
absolute,onehot,33,4,mish,0.2,True,0.0436252932354735,0.0632518218766824,0.0211364783547501,adam,True,
absolute,onehot,32,4,mish,0.2,True,0.0334098400737345,0.0589919027362045,0.0177659268809563,adam,True,
absolute,onehot,35,4,leakyrelu,0.2,True,0.0169485365564839,0.0679664769197831,0.0194215053956414,adam,True,
absolute,onehot,34,4,mish,0.2,True,0.037436988056127,0.0576453438331788,0.012008173363114,adam,True,
absolute,onehot,34,4,mish,0.2,True,0.0400766567635503,0.0586123766685121,0.0126372893324374,adam,True,
absolute,onehot,35,4,mish,0.2,True,0.0220445224476802,0.058815537477987,0.0197792246153516,adam,True,
absolute,onehot,36,4,relu,0.2,True,0.0352093619949533,0.0579375419942177,0.007085040129514,adam,True,
absolute,onehot,34,4,mish,0.2,True,0.0460400374225323,0.0597393058013593,0.0140019060405883,adam,True,
absolute,onehot,33,5,mish,0.2,True,0.0277315460917985,0.0570320853335311,0.0175207035448791,adam,True,
