loss_mode,hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse,optimizer,use_scheduler,rel_eps,diluent_encoding
absolute,24,3,mish,0.1,True,0.031038104051330336,0.055839167445078566,0.015730435598311627,adam,True,,onehot
absolute,16,3,leakyrelu,0.1,True,0.0011650723760806125,0.08917293558618661,0.02109794451378424,adam,True,,onehot
absolute,19,3,relu,0.2,True,0.018668567958599187,0.07447090768322276,0.031720736867428136,adam,True,,onehot
absolute,21,3,relu,0.2,True,0.0012321437076471381,0.09187155945041416,0.02379365605800864,adam,True,,onehot
absolute,28,5,swish,0.2,True,0.009920633819928295,0.06392805920447524,0.0246948156780162,adam,True,,onehot
absolute,34,5,swish,0.0,True,0.0039153250012812285,0.06427289337365953,0.02583044772706209,adam,True,,onehot
absolute,21,5,leakyrelu,0.2,True,0.009433312897200143,0.07035950263326893,0.022488425401335898,adam,True,,onehot
absolute,16,3,mish,0.1,True,0.0017099740712959838,0.07740332504845385,0.021465007830006686,adam,True,,onehot
absolute,35,5,tanh,0.2,True,0.00823109881994921,0.06694937514132962,0.017095049459756328,adam,True,,onehot
absolute,27,3,tanh,0.2,True,0.01859247732917117,0.06946657366024249,0.01964619690038561,adam,True,,onehot
absolute,31,4,mish,0.1,True,0.04018933886059582,0.06460981806299737,0.017307313572015526,adam,True,,onehot
absolute,26,4,swish,0.0,True,0.04456018464289308,0.06118240420398334,0.023447275974844143,adam,True,,onehot
absolute,24,4,gelu,0.0,True,0.03749325361444593,0.06644617918010479,0.02583073218208092,adam,True,,onehot
absolute,24,4,mish,0.0,True,0.02232000163014109,0.061638512464973524,0.0334375405981365,adam,True,,onehot
absolute,30,4,swish,0.0,True,0.044231038776085405,0.062404440450018764,0.0193226710039814,adam,True,,onehot
absolute,24,4,gelu,0.1,True,0.024842158612926,0.06553965804708647,0.02793112288724941,adam,True,,onehot
absolute,26,3,mish,0.0,True,0.0043533016795900365,0.07062376775543712,0.02830926544550576,adam,True,,onehot
absolute,31,4,swish,0.1,True,0.013210819637741256,0.06415192523884745,0.02259065472456536,adam,True,,onehot
absolute,21,3,swish,0.1,True,0.028090824612799367,0.06348006373789379,0.02223728746847285,adam,True,,onehot
absolute,29,4,mish,0.0,True,0.049001923646146826,0.05563665307293615,0.01311816615063349,adam,True,,onehot
absolute,33,4,mish,0.1,True,0.005014605170476668,0.059730500013429486,0.013721289651926769,adam,True,,onehot
absolute,33,4,mish,0.1,True,0.004044738499472799,0.06976879062822884,0.030682750063421263,adam,True,,onehot
absolute,29,4,mish,0.1,True,0.005600456574605251,0.06914810364153909,0.028597078183780437,adam,True,,onehot
absolute,32,4,mish,0.1,True,0.00275325066725956,0.07578940726262957,0.030833184808497192,adam,True,,onehot
absolute,29,4,mish,0.1,True,0.015114718002608303,0.06370034711806535,0.023494888753787625,adam,True,,onehot
absolute,35,3,mish,0.0,True,0.030870728053006013,0.06290881495719727,0.02616331999376385,adam,True,,onehot
absolute,33,4,mish,0.1,True,0.002490804064917873,0.06974745545007717,0.021833514179430885,adam,True,,onehot
absolute,36,4,mish,0.0,True,0.012530002069672707,0.06627154417240473,0.033038866993250614,adam,True,,onehot
absolute,23,5,tanh,0.1,True,0.005341328904599246,0.06770884728897376,0.018145922685059147,adam,True,,onehot
absolute,27,3,leakyrelu,0.1,True,0.04900925150230128,0.06139546274560963,0.017373384487024704,adam,True,,onehot
absolute,30,3,relu,0.0,True,0.002789480462932705,0.0813817303782966,0.03401352816396225,adam,True,,onehot
absolute,27,4,gelu,0.0,True,0.03409281734828905,0.06368609341033428,0.0210773612923268,adam,True,,onehot
absolute,25,4,leakyrelu,0.0,True,0.020696824758777068,0.07406491947554145,0.03532525975333318,adam,True,,onehot
absolute,22,4,relu,0.0,True,0.04943520809576371,0.06702063427913972,0.0235840877405,adam,True,,onehot
absolute,19,4,swish,0.0,True,0.031270650489863716,0.06063341841794874,0.025063851689965524,adam,True,,onehot
absolute,16,3,mish,0.0,True,0.0067899365288918365,0.06609080966885049,0.02938017945185825,adam,True,,onehot
absolute,18,5,swish,0.2,True,0.015593898222910747,0.06414953604449355,0.01695781554269779,adam,True,,onehot
absolute,17,4,relu,0.1,True,0.0010333752854850254,0.08928906678060929,0.02633771855303059,adam,True,,onehot
absolute,20,3,mish,0.0,True,0.02727316424379993,0.06330979682470708,0.02097800918696249,adam,True,,onehot
absolute,19,5,leakyrelu,0.2,True,0.011011165231674528,0.07262534167687633,0.021670231922838432,adam,True,,onehot
absolute,22,4,tanh,0.1,True,0.03378927722051564,0.06964243458907855,0.014045046149203422,adam,True,,onehot
absolute,26,4,swish,0.0,True,0.03794159301752918,0.06143446143994885,0.02250396127061096,adam,True,,onehot
absolute,28,4,swish,0.0,True,0.018376707370872502,0.054589098499115384,0.02817858966422732,adam,True,,onehot
absolute,28,4,swish,0.0,True,0.01973101809053709,0.06251332201829557,0.027741922956498462,adam,True,,onehot
absolute,28,4,swish,0.0,True,0.008195416796737277,0.06457285262775736,0.02938118119559746,adam,True,,onehot
absolute,32,4,swish,0.2,True,0.02478701801740955,0.05992617158414119,0.02692249649149981,adam,True,,onehot
absolute,32,3,mish,0.2,True,0.024081186446159714,0.06275090763756533,0.027962798517012364,adam,True,,onehot
absolute,34,4,swish,0.2,True,0.017704090145640273,0.06606439930515305,0.029283303952828982,adam,True,,onehot
absolute,30,5,gelu,0.2,True,0.008837331926252323,0.06259762098750968,0.02504717039072209,adam,True,,onehot
absolute,31,4,mish,0.2,True,0.040427713208823934,0.05411970631074635,0.012970459102695241,adam,True,,onehot
absolute,29,3,mish,0.2,True,0.041632199961847915,0.06289535195292885,0.0205923250258554,adam,True,,onehot
absolute,31,4,mish,0.2,True,0.02578470908976762,0.06544827308497354,0.030683290960808005,adam,True,,onehot
absolute,33,4,mish,0.2,True,0.0383179652647972,0.05925986789144914,0.017294751582231174,adam,True,,onehot
absolute,34,4,mish,0.2,True,0.03686062816112929,0.05510446327594865,0.01775897447384079,adam,True,,onehot
absolute,34,4,mish,0.2,True,0.037152041844300265,0.053830965966254606,0.009417532278552541,adam,True,,onehot
absolute,36,4,mish,0.2,True,0.03089679454791184,0.06449972999580568,0.022662239810055787,adam,True,,onehot
absolute,34,4,mish,0.2,True,0.043649374010985016,0.05436572998753327,0.011838751868519824,adam,True,,onehot
absolute,35,4,mish,0.2,True,0.04418677424754472,0.05723696146559781,0.014221638728789971,adam,True,,onehot
absolute,34,4,mish,0.2,True,0.0363395365585582,0.05501988600864177,0.01951269003620387,adam,True,,onehot
absolute,34,4,mish,0.2,True,0.03724875184272911,0.060904969230990987,0.02522817855674964,adam,True,,onehot
absolute,35,4,tanh,0.2,True,0.028637648849296805,0.06803812476744595,0.012434225919921587,adam,True,,onehot
absolute,34,4,mish,0.2,True,0.048531881092868066,0.058023010833601424,0.01651567114511469,adam,True,,onehot
absolute,31,4,mish,0.2,True,0.034233017292437634,0.05737816721691093,0.012754391575655544,adam,True,,onehot
absolute,36,4,mish,0.2,True,0.04184226238190097,0.054036453582777734,0.018426511248590544,adam,True,,onehot
absolute,36,4,mish,0.2,True,0.022795247671581625,0.0570140407995219,0.02093762219048027,adam,True,,onehot
absolute,35,4,mish,0.2,True,0.040505200280484,0.0471766666470079,0.010473802019943357,adam,True,,onehot
absolute,35,4,mish,0.2,True,0.04288901049480494,0.05630782377805079,0.009264508494578098,adam,True,,onehot
absolute,36,4,gelu,0.2,True,0.02960499267375662,0.06775471699820887,0.024972116408490855,adam,True,,onehot
absolute,33,4,mish,0.2,True,0.04362529323547357,0.06325182187668241,0.02113647835475016,adam,True,,onehot
absolute,32,4,mish,0.2,True,0.03340984007373456,0.05899190273620456,0.017765926880956375,adam,True,,onehot
absolute,35,4,leakyrelu,0.2,True,0.01694853655648397,0.0679664769197831,0.01942150539564148,adam,True,,onehot
absolute,34,4,mish,0.2,True,0.037436988056127024,0.05764534383317884,0.01200817336311408,adam,True,,onehot
absolute,34,4,mish,0.2,True,0.040076656763550315,0.05861237666851216,0.012637289332437482,adam,True,,onehot
absolute,35,4,mish,0.2,True,0.02204452244768024,0.05881553747798704,0.019779224615351684,adam,True,,onehot
absolute,36,4,relu,0.2,True,0.035209361994953364,0.05793754199421777,0.007085040129514018,adam,True,,onehot
absolute,34,4,mish,0.2,True,0.04604003742253235,0.0597393058013593,0.014001906040588336,adam,True,,onehot
absolute,33,5,mish,0.2,True,0.0277315460917985,0.057032085333531185,0.017520703544879185,adam,True,,onehot
absolute,32,4,mish,0.2,True,0.040502050835533966,0.0549114239551576,0.009662687376743577,adam,True,,onehot
absolute,32,4,tanh,0.2,True,0.001524259117209967,0.08108956868132157,0.02053112243358921,adam,True,,onehot
absolute,30,4,mish,0.2,True,0.041672040472906416,0.05081327943785333,0.012575612017306021,adam,True,,onehot
absolute,30,4,mish,0.2,True,0.04993671102304742,0.0577654965116185,0.01336553085851858,adam,True,,onehot
absolute,33,4,mish,0.2,True,0.04067133319299622,0.05349012534031613,0.01153146548460756,adam,True,,onehot
