Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,success,tau_prior_mode,t_peak,t_peak_repr,mu_tau_prior,sig_tau_prior,flat_ratio,tau_fixed,lambda_med,lambda_q025,lambda_q975,lambda_q16,lambda_q84,tau_med,tau_q025,tau_q975,tau_q16,tau_q84,beta_med,beta_q025,beta_q975,beta_q16,beta_q84
S1_uniform_all,F1,10,0.0,420.0,0.5312083333333334,0.017048530936135828,True,,,,,,,,0.10928687832924251,0.009273530784293094,0.21538206149693023,0.05640484612322667,0.1630721741315576,6831.503598721535,460.7081338471001,9862.213330392582,3553.0937620933682,9081.362837092127,8.639290663530732,3.658930722272869,9.940015915960632,6.879950590140897,9.621135320995263
S1_uniform_all,F10,10,0.0,420.0,0.5289236111111111,0.017767320216678775,True,,,,,,,,0.12100843466418226,0.0031795399286733543,0.2327433554573937,0.061101354553430375,0.17844456741499112,6954.808978396457,68.77957003861466,9860.196354485466,3516.374533223727,9129.175003102897,8.75145075469641,4.195393540683092,9.947187673990005,7.123606181722805,9.65503965896684
S1_uniform_all,F11,10,0.0,420.0,0.49141666666666667,0.05425304864569579,True,,,,,,,,16.820583432858676,0.013933091731652875,40.68390474514732,6.648682715359144,26.996138114127096,6878.0766597481925,0.30849471585389227,9864.886061616231,2837.608345874229,9114.931537226494,8.239730957341104,3.5801649119623513,9.524163893834707,7.406998205792416,8.901916697575901
S1_uniform_all,F12,10,0.0,420.0,0.5402361111111111,0.02092854660968747,True,,,,,,,,0.2327065241244587,0.02054033198332437,0.46562972152484056,0.12186342871346716,0.3511774274835447,6982.094574304041,543.4650149446678,9881.07017130832,3792.1482420128514,9158.708299501082,8.55220222514708,4.61024206066658,9.93739598386046,7.004046794940085,9.563442972606646
S1_uniform_all,F13,10,0.0,420.0,0.5212638888888889,0.015966221650608105,True,,,,,,,,0.0609357959417138,0.002716559812052704,0.12036132080547346,0.029689097283235842,0.091493664168599,6751.331666101441,194.8590487887515,9863.861597453304,3259.1636552134937,9093.460201338221,8.557671834817548,0.8537559528756223,9.943456214526451,6.530216354697649,9.608172125626222
S1_uniform_all,F14,10,0.0,420.0,0.5469027777777778,0.023383968132581992,True,,,,,,,,0.26417656216471935,0.004378513915387714,0.42756850564891835,0.12697189197811873,0.3588752711838867,6792.318398968147,32.63133624530843,9856.437018934064,3223.1875498295394,9089.100630686818,1.4445422474480254,0.6374082756109548,1.8383915301346028,1.25220363255604,1.6345570201742723
S1_uniform_all,F15,10,0.0,420.0,0.5943472222222222,0.02861763069206926,True,,,,,,,,0.0038522338622115782,0.0031471898002344597,0.0057200581583814105,0.00344774909736927,0.00446731695174464,1.577740498551202,0.042850185594311654,18.019753124147808,0.3277916336947597,5.665894750193061,0.8365496056098256,0.523794730753761,1.2752846603972536,0.6662269975411507,1.033852776045923
S1_uniform_all,F16,10,0.0,420.0,0.4732708333333333,0.02757858001790312,True,,,,,,,,0.29797793312702064,0.002656726758369759,0.5451398461619229,0.09157319849657189,0.4344748687972162,6468.385142809479,5.253374127546316,9852.5701949641,1955.1410840235355,9022.906021032943,2.336507790261378,0.48189773795997054,3.000178249234443,1.9013912867242562,2.666575499235227
S1_uniform_all,F17,10,0.0,420.0,0.37981249999999994,0.036537614997326,True,,,,,,,,0.3118637776144691,0.002739878274473064,0.6325869139448745,0.004266179546073101,0.49676528440753737,5677.4613739538345,1.8116895054743862,9824.796615899866,23.602908675850607,8862.440376092976,1.976489612204878,0.32361509681841194,2.5458582969782526,0.7679275533789053,2.272749079391333
S1_uniform_all,F18,10,0.0,420.0,0.5120833333333333,0.023274306188383883,True,,,,,,,,0.16363324418826214,0.0024906345349240823,0.2773206146165072,0.06850706454130535,0.2268752896572904,6677.644929288568,25.989475156062966,9868.904451379813,2761.4489620886184,9076.870357496862,1.6489560261598026,0.24127125577213757,2.2744271075672247,1.3192370304005245,1.952361982120743
S1_uniform_all,F19,10,0.0,420.0,0.5190625,0.02798732219717129,True,,,,,,,,0.2543210204923515,0.003133179836149409,0.4317107620345904,0.11090315172468616,0.35350145750479445,6635.765602308917,29.633679255453412,9848.635569004795,2868.8619447280125,9039.752519131362,1.6873357982204218,0.27053360995568554,2.1731538337110052,1.4337066350143866,1.929309441763276
S1_uniform_all,F2,10,0.0,420.0,0.5246041666666666,0.020654327668064378,True,,,,,,,,0.22405007016348524,0.0014172263210630305,0.5037600200157769,0.10876140091857456,0.360239959418301,6852.633971832852,2.685458645715818,9868.146744370857,3512.718333565202,9117.790574126813,7.7518524119575565,1.624742018617269,9.859331999298027,6.009894285305908,9.163420082222899
S1_uniform_all,F20,10,0.0,420.0,0.4378958333333333,0.0362486942015244,True,,,,,,,,0.5048842729084847,0.0042705317933966315,0.9223918915141758,0.014007237358934038,0.754702434877528,6041.264461897594,4.6569253542942475,9830.767932966253,117.38222515039578,8891.651087322563,1.5761730692690157,0.44982445812459393,1.9359135210408986,1.106687711643665,1.7603866202700225
S1_uniform_all,F21,10,0.0,420.0,0.27634027777777775,0.042306427374989145,True,,,,,,,,0.006401948558201164,0.0020350924306223993,0.42279694308466875,0.002366892714876037,0.3024596756177737,113.34910390410204,0.6284093658862125,9690.073589078642,4.500339521995614,7959.771134421394,1.2618750701354764,0.09367285074488017,2.802574769697489,0.33986029170385634,2.3607288220471516
S1_uniform_all,F22,10,0.0,420.0,0.6386597222222222,0.04157621627411776,True,,,,,,,,0.006396811935938168,0.005277922293934631,0.008180658693249165,0.00578206848494167,0.007172795541477292,0.43422948205543643,0.01300817620864533,3.6219614911028177,0.09382876372480616,1.3961012345698747,1.0839269927045938,0.8277749428882042,1.394490554261482,0.9502636243436089,1.2336408792450164
S1_uniform_all,F23,10,0.0,420.0,0.4932986111111111,0.030881200800432853,True,,,,,,,,0.3116210665551038,0.002781652896644503,0.5589843427717641,0.11534488744557862,0.44635999549958755,6553.22936416726,5.004820509113809,9846.759963587987,2409.5181146419154,9029.46934879388,2.2628526318289106,0.49872048761096605,2.899417641483634,1.9063235040348279,2.576680307011655
S1_uniform_all,F24,10,0.0,420.0,0.5028888888888888,0.02556041967431039,True,,,,,,,,0.24765448948710916,0.0021381339258572264,0.4218905905050094,0.10269885994560062,0.34344596099889946,6803.3626392935585,2.4105312588914023,9863.21646314114,2808.8489208293927,9081.401764825254,2.0274699982965148,0.0695931583449878,2.6358378223428116,1.6851612392622466,2.3304323241787492
S1_uniform_all,F25,10,0.0,420.0,0.4394375,0.016194221949497968,True,,,,,,,,69.79270313513568,15.72708367565312,98.52840109994389,40.46467747725815,90.89928419624358,1352.3321350692497,41.46106924559623,8166.002694998546,273.093533171191,4552.737235173766,1.3194233037292782,0.07979518728971131,3.004262360000028,0.4627226427013696,2.260362568368748
S1_uniform_all,F26,10,0.0,420.0,0.4457708333333333,0.01587783890273895,True,,,,,,,,68.95975179245474,15.855429006306146,98.62025744963495,38.797332419535664,90.985099604448,1586.2945266365905,55.872442303697326,7978.212570943475,352.56785796326193,4686.206535361388,1.137058077612705,0.07556082132705068,2.7716912921744217,0.39104593306300084,2.019845033994883
S1_uniform_all,F27,10,0.0,420.0,0.6018472222222222,0.022439628943997272,True,,,,,,,,0.004829388814543609,0.00405666656037933,0.006775493434944035,0.0043867853698064,0.005495134610743536,1.4689437841490642,0.049429993426914676,13.763673940844836,0.3413507599458555,4.8037003374488,0.6094436836299025,0.3879908862366373,0.8882111999719421,0.4936839372627317,0.7350791216761735
S1_uniform_all,F28,10,0.0,420.0,0.48675694444444445,0.03182762584999195,True,,,,,,,,0.4446155128733097,0.004864245006653565,0.7572176706118908,0.14204268084841387,0.6284262009056973,6422.257386879628,14.309187034176876,9842.165557370663,2018.1629595642037,9009.578809394847,1.4286275599121878,0.5060331057471917,1.7584118999068215,1.2202234023015655,1.597799803770431
S1_uniform_all,F29,10,0.0,420.0,0.5404791666666667,0.024170068512907452,True,,,,,,,,0.17084052312028786,0.0024318090115660472,0.37696482267281184,0.08479731788979059,0.2591247454931179,6892.492836298279,36.097475500326524,9869.142527385327,3453.1547015052347,9128.138993179982,4.179604132796669,1.5334327178935918,6.343263734831933,3.2263688941349358,5.1917278892811005
S1_uniform_all,F3,10,0.0,420.0,0.4915,0.018149099270321177,True,,,,,,,,0.10113360213328108,0.0010530541680244658,0.2074862285323935,0.04416944037325346,0.15552699735528686,6527.972007551816,1.6589300686110702,9868.563629260478,2834.747232267424,9026.083070633125,8.5415882692645,0.3272119262906848,9.938054480055662,6.601794369151734,9.608471196893262
S1_uniform_all,F30,10,0.0,420.0,0.5503472222222222,0.023765799924356793,True,,,,,,,,0.1377779912669767,0.0028320016920505247,0.2660303428445006,0.06901033539171411,0.19821179929787827,6866.727348445458,72.26120034713345,9864.313820913272,3419.2437924070896,9115.485861264558,2.8774177235668636,0.776734525503909,4.3415942761155,2.2213678526786285,3.5797002290930138
S1_uniform_all,F31,10,0.0,420.0,0.5457777777777778,0.022371955049645044,True,,,,,,,,0.15313428690534253,0.0020436759550087986,0.37069682363213,0.07731691487114224,0.24032500502667525,6940.266587330521,44.37560108252256,9867.230688873964,3501.9101620224696,9117.941517551855,4.730139416299213,0.735555898197553,7.505822781896059,3.5523362113003456,6.004597784849074
S1_uniform_all,F32,10,0.0,420.0,0.5583819444444443,0.023916976497929267,True,,,,,,,,0.20684049171355584,0.002026344100796213,0.5160641514910572,0.1058129096282807,0.33352184900025184,6968.3962268853265,58.67393539430639,9860.476776772934,3708.4947045122344,9135.83107460376,5.954720403718941,1.0362398251496314,8.949898802575643,4.615357047175855,7.45541605699232
S1_uniform_all,F33,10,0.0,420.0,0.5077986111111111,0.024992256577666128,True,,,,,,,,0.1965773382587124,0.001651032825167711,0.4137807814538672,0.08140453129896408,0.2963066268144197,6724.97304671713,7.963082264779986,9857.348049397357,2819.9695730304265,9116.317795280023,3.8921719814918996,0.3880081082337053,5.654756991085295,3.00278789754403,4.751612558377745
S1_uniform_all,F34,10,0.0,420.0,0.5869652777777777,0.03256511220860831,True,,,,,,,,0.003418559938594704,0.002709611818688011,0.005532311157169055,0.0030107129135037297,0.004067973351282302,1.4843103887937232,0.03994309022579154,21.752160294395004,0.30091770159881326,5.734898931678499,1.0163767411725608,0.5767363545459486,1.68489919740446,0.7792667007943774,1.3030675304806727
