Scenario,BatchID,accept_frac,rmse_med_curve,tau_prior_mode,mu_tau_prior,sig_tau_prior,lambda_q025,lambda_q16,lambda_med,lambda_q84,lambda_q975,tau_q025,tau_q16,tau_med,tau_q84,tau_q975,beta_q025,beta_q16,beta_med,beta_q84,beta_q975,n_q025,n_q16,n_med,n_q84,n_q975
S2_tau_prior_n1,F1,0.5797499999999999,0.013918677827667479,spline_peak,3.029658831168584,0.5,0.0009139754869049507,0.0012164708999796198,0.0017768954637742778,0.002672291351383291,0.003716154466777543,7.900648322689864,13.023217132329885,21.726948061793273,36.10512879771994,59.311655681633155,0.8299890967592369,2.6793706751310733,5.198623699374229,7.88371283658783,9.594357263144646,1.0,1.0,1.0,1.0,1.0
S2_tau_prior_n1,F10,0.5911875,0.014013775413985075,spline_peak,3.0271175337399114,0.5,0.0010174043902530614,0.0013816364792409936,0.0020225664255823445,0.0029765828767835214,0.0040774292820821975,8.09234896379902,13.129213622061643,21.85833716917216,36.36431185625482,59.649111386058095,1.4368391365590794,3.358287469235681,5.774324378133799,8.242275271297684,9.663064780211236,1.0,1.0,1.0,1.0,1.0
S2_tau_prior_n1,F11,0.6465833333333334,0.04532722927854865,spline_peak,-0.4617854283413494,0.5,0.010102247958155855,0.012094012121137568,0.014631955704822338,0.017980662500527933,0.022204474047806802,0.21219202964070058,0.3360241601453554,0.5405598635404293,0.8649012602419189,1.3652450355328403,2.9336413780006367,3.283913902142016,3.6557393690452056,4.057307361077737,4.478870173540826,1.0,1.0,1.0,1.0,1.0
S2_tau_prior_n1,F12,0.6040555555555556,0.01708406421542162,spline_peak,3.022015481856016,0.5,0.0013809743481847366,0.0018155999020097674,0.0025646172042798373,0.0039078395761143955,0.00618200596361221,7.713854801860948,12.66098782185835,21.110912113820813,35.20436260981639,57.28930845033048,1.4160441781979254,2.7737346657524284,4.433853112791333,6.420940143265146,8.574504984027246,1.0,1.0,1.0,1.0,1.0
S2_tau_prior_n1,F13,0.5788125000000001,0.010173280617386071,spline_peak,3.029658831168584,0.5,0.0007029107777629503,0.000935287906393009,0.0013469052103467615,0.0018388878247085404,0.0023834466978783367,8.013112991050967,13.033021115560727,21.429068644013892,35.452935511323275,57.21655875391777,0.9232060317026481,3.318935327386636,6.5342659805137835,8.911693734148455,9.81687516177586,1.0,1.0,1.0,1.0,1.0
S2_tau_prior_n1,F14,0.6030486111111112,0.009659450650761792,spline_peak,3.1240456498731404,0.5,0.002913745150667629,0.0032572164227069166,0.0037601405593335052,0.004464502526577675,0.0055898943218590175,10.133396862406638,16.12535902321489,25.901924258316967,41.62992616715279,67.81893100133209,0.20108257707839597,0.31740855118990424,0.45787991618147666,0.6152342323862918,0.7888007623062552,1.0,1.0,1.0,1.0,1.0
S2_tau_prior_n1,F15,0.6383333333333333,0.038027700952265965,spline_peak,3.0091452913354813,0.5,0.0038198185727491138,0.004275166751287649,0.004888894396303847,0.005729025153821933,0.006942020583952782,4.615947314037179,7.190340459167374,11.396610011709605,18.06277282878308,28.342708104091543,0.6975147475367197,0.8574144555154055,1.0414161136967204,1.2466967474568884,1.4821493645238057,1.0,1.0,1.0,1.0,1.0
S2_tau_prior_n1,F16,0.6145208333333333,0.013428529162375325,spline_peak,3.0815864421013486,0.5,0.0026832773636267953,0.0030268365874799295,0.0035335583053519863,0.004271652721723941,0.005345784745398506,7.817255212820679,12.461852098797168,20.302365843512003,33.16121405372417,53.48117552467772,0.4045017220388768,0.5894509331433939,0.8116869390861958,1.067148230086362,1.3473199051060656,1.0,1.0,1.0,1.0,1.0
S2_tau_prior_n1,F17,0.6212916666666667,0.016094967029727507,spline_peak,3.0815864421013486,0.5,0.0030785777648412614,0.0034529865726208586,0.003974845307748531,0.004706858752643474,0.005762535215542424,7.147628133266884,11.281368708119853,18.12708934665446,29.010981728387286,46.24692149338314,0.3928458393796921,0.540538349391248,0.7154131487376483,0.9076131060036884,1.1151252353099126,1.0,1.0,1.0,1.0,1.0
S2_tau_prior_n1,F18,0.5618194444444444,0.009690483389152025,spline_peak,3.119416011974398,0.5,0.0020495202605737605,0.00221997881750919,0.0025059703399516525,0.0029476247457546675,0.0036015790484409393,10.070030906939191,15.83683104123157,25.373603778999794,40.712532224239474,64.02470003372078,0.01673281237075102,0.09807762980441433,0.26733989925009666,0.4973650853867345,0.7560947619603272,1.0,1.0,1.0,1.0,1.0
S2_tau_prior_n1,F19,0.6095069444444444,0.009783728786850606,spline_peak,3.1077472681400207,0.5,0.0026363241720485783,0.0029460579398386502,0.003370456441477163,0.003969589082992698,0.004800195890256979,8.640195265422914,13.778044839696541,21.746096939368762,34.583935209943114,54.16831303810492,0.18217809619272912,0.32244654126520444,0.4851749946614484,0.6699406802610701,0.860468912482998,1.0,1.0,1.0,1.0,1.0
S2_tau_prior_n1,F2,0.5959374999999999,0.015398203982391594,spline_peak,3.0422693387605135,0.5,0.0013013322942055695,0.0016344328292832561,0.0021845947605688295,0.0031019293391312728,0.004689115666467406,7.97027176521667,12.977521290684471,21.145618035348157,35.267800623124586,57.27697228990477,0.766236462843032,1.8035362277011089,3.116535450271817,4.671631592678358,6.500473582230584,1.0,1.0,1.0,1.0,1.0
