BatchID,param,grid_value,grid_log,sse_prof,delta_sse,sse_min,delta_star_95
F14,lambda,37.981516927217676,3.637099644744996,0.0003887688277509362,1.3008468829629315e-08,0.0003887558192821066,0.0002488037243405482
F14,lambda,46.02940168974395,3.829280359477106,0.00038876653776545914,1.0718483352560506e-08,0.0003887558192821066,0.0002488037243405482
F14,lambda,55.782548758539235,4.021461074209216,0.0003887646482070893,8.82892498270827e-09,0.0003887558192821066,0.0002488037243405482
F14,lambda,67.60228531695509,4.213641788941326,0.0003887630890510127,7.269768906108774e-09,0.0003887558192821066,0.0002488037243405482
F14,lambda,81.92649998581173,4.405822503673436,0.00038876180252013964,5.983238033063082e-09,0.0003887558192821066,0.0002488037243405482
F14,lambda,99.28586538836731,4.5980032184055455,0.00038876074094199047,4.9216598838920655e-09,0.0003887558192821066,0.0002488037243405482
F14,lambda,120.32349810652447,4.790183933137655,0.0003887598649813602,4.0456992536348595e-09,0.0003887558192821066,0.0002488037243405482
F14,lambda,145.8187843753948,4.982364647869765,0.00038875914218152667,3.3228994200857655e-09,0.0003887558192821066,0.0002488037243405482
F14,lambda,176.71625419245444,5.174545362601876,0.00038875854576173117,2.726479624590248e-09,0.0003887558192821066,0.0002488037243405482
F14,lambda,214.1605735473516,5.366726077333985,0.0003887580536240564,2.234341949793831e-09,0.0003887558192821066,0.0002488037243405482
F14,lambda,259.53895113791384,5.558906792066095,0.00038875764753473275,1.8282526261675404e-09,0.0003887558192821066,0.0002488037243405482
F14,lambda,314.53253062415274,5.751087506798205,0.00038875731244826154,1.4931661549560937e-09,0.0003887558192821066,0.0002488037243405482
F14,lambda,381.178672361451,5.943268221530315,0.000388757035949922,1.2166678154323582e-09,0.0003887558192821066,0.0002488037243405482
F14,lambda,461.9464319792718,6.135448936262424,0.00038875680779590143,9.885137948538285e-10,0.0003887558192821066,0.0002488037243405482
F14,lambda,559.8280320784311,6.327629650994535,0.00038875661953303905,8.002509324688337e-10,0.0003887558192821066,0.0002488037243405482
F14,lambda,678.4497158208853,6.519810365726645,0.00038875646418689327,6.449047866910473e-10,0.0003887558192821066,0.0002488037243405482
F14,lambda,822.2060892316181,6.711991080458755,0.0003887563360019802,5.167198735946468e-10,0.0003887558192821066,0.0002488037243405482
F14,lambda,996.4229292241689,6.904171795190864,0.00038875623022966875,4.109475621664853e-10,0.0003887558192821066,0.0002488037243405482
F14,lambda,1207.5544889378489,7.0963525099229745,0.00038875614295094733,3.2366884075273744e-10,0.0003887558192821066,0.0002488037243405482
F14,lambda,1463.4226100048884,7.288533224655085,0.0003887560709313379,2.5164923129258193e-10,0.0003887558192821066,0.0002488037243405482
F14,lambda,1773.5065001971461,7.480713939387194,0.0003887560115043851,1.9222227851329113e-10,0.0003887558192821066,0.0002488037243405482
F14,lambda,2149.293911914497,7.672894654119304,0.0003887559624678349,1.4318572830228707e-10,0.0003887558192821066,0.0002488037243405482
F14,lambda,2604.7067317087462,7.865075368851414,0.00038875592200499054,1.0272288396414794e-10,0.0003887558192821066,0.0002488037243405482
F14,lambda,3156.6167477604426,8.057256083583525,0.00038875588861670947,6.933460289194546e-11,0.0003887558192821066,0.0002488037243405482
F14,lambda,3825.4707030702602,8.249436798315633,0.00038875586106653113,4.1784424553194255e-11,0.0003887558192821066,0.0002488037243405482
F14,lambda,4636.047790860766,8.441617513047744,0.000388755838332655,1.9050548410916995e-11,0.0003887558192821066,0.0002488037243405482
F14,lambda,5618.377655302672,8.633798227779852,0.00038875581957381936,2.9171278023362723e-13,0.0003887558192821066,0.0002488037243405482
