prior_mode,forward_method,tau_fixed_value,loss_mode,diluent_encoding,hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse,optimizer,use_scheduler,rel_eps,seed,ode_method,ode_rtol,ode_atol,cf_beta_eps,cf_blend_k,cf_base_softplus
tau_fixed,closed_form,1.0,absolute,continuous,36,5,gelu,0.0,True,0.018160420315446627,0.04329062029719353,0.004733008266252872,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,26,5,gelu,0.0,True,0.0014459934097728268,0.0404957301914692,0.006678287275356964,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,30,5,gelu,0.0,True,0.0027614979059225795,0.045637264102697375,0.016934346610144285,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,12,5,gelu,0.0,True,0.0020779878865331367,0.04899034425616265,0.011248976755894893,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,19,4,gelu,0.0,True,0.003442086772071309,0.04099746979773045,0.009119053853662035,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,26,2,mish,0.2,True,0.005159318816482412,0.0589232437312603,0.02378142020851273,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,16,5,gelu,0.0,True,0.0010959273305725752,0.04519145712256432,0.014976281906517643,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,33,4,leakyrelu,0.0,True,0.006494339397315715,0.04627954438328743,0.015148839860285722,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,23,5,gelu,0.2,True,0.001599716382567095,0.06102467924356461,0.014795716934450403,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,22,5,swish,0.0,True,0.001305146055737938,0.04753203392028808,0.014101447547160912,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,40,4,gelu,0.1,True,0.004382304483688964,0.04353256896138191,0.006809337184693006,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,26,5,gelu,0.0,True,0.0012661040794510108,0.044537775963544836,0.01580174688799853,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,26,5,gelu,0.0,True,0.0010084013950833195,0.04423695057630539,0.005220765135048934,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,31,5,gelu,0.0,True,0.001556278821296145,0.039531576260924337,0.0073387635651533875,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,30,2,gelu,0.2,True,0.0018103289688193914,0.05425324514508247,0.013182254602823398,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,46,5,swish,0.0,True,0.0033477858396709546,0.04564760774374008,0.01889496057851421,adamw,False,,1,,,,0.001,6.0,True
tau_fixed,closed_form,1.0,absolute,continuous,36,5,gelu,0.0,True,0.002417861676134616,0.049417789280414584,0.024600584644513847,adamw,False,,1,,,,0.001,6.0,True
