lambda,tau,beta,log_lambda,log_tau,log_beta,BatchID,accept_frac
95868.7966624439,950.2959961234264,3.5287109333125253,11.47073583422888,6.8567735109319825,1.260932629553687,F25,0.5329861111111112
49857.116201716366,648.5956358207073,4.831447505044478,10.816916517493047,6.474809465236191,1.575146113251657,F25,0.5329861111111112
93168.07242606443,340.0786464088167,4.6884031047031565,11.442160371447203,5.829176903828595,1.545092035076198,F25,0.5329861111111112
17260.767810110166,588.2609003234035,4.347661046217007,9.756191448590645,6.377170557522326,1.4696380099683781,F25,0.5329861111111112
6865.600700901621,232.83780114565403,4.249217152568157,8.834278816326165,5.450342078730933,1.4467347665738055,F25,0.5329861111111112
92632.29628273052,838.9574136795435,4.382513584051741,11.436393131779205,6.732159946751711,1.4776224374209395,F25,0.5329861111111112
60380.33211247073,476.51716182340584,4.252913098828851,11.008418703617858,6.1665037388641615,1.4476041831515851,F25,0.5329861111111112
49753.93647874676,437.74013345465363,4.840867749432761,10.814844864657445,6.081625431687857,1.5770939917314184,F25,0.5329861111111112
19662.168720612768,31.88762577502895,4.565910682630544,9.886451698940443,3.4622180277966135,1.5186179865125415,F25,0.5329861111111112
3522.8967733368536,880.6130437735226,2.245600495404318,8.167038877127645,6.78061830558252,0.8089729666766255,F25,0.5329861111111112
77024.90668165332,345.2423739558883,4.055029917415595,11.25188411193091,5.844246703575899,1.399958065447828,F25,0.5329861111111112
76878.89609926296,514.154456456406,5.638158058267537,11.249986684790604,6.242523719256825,1.7295574267557803,F25,0.5329861111111112
15767.338072853943,268.151046054671,4.425628488153351,9.665695868807187,5.5915504264269975,1.4874122995955101,F25,0.5329861111111112
98893.18130154464,299.58336994387577,5.008542886159302,11.501795569850186,5.70239274257201,1.6111450317083347,F25,0.5329861111111112
23227.847804879064,927.1434387747817,3.623969039242907,10.053107174243811,6.832108287980603,1.2875698448889705,F25,0.5329861111111112
43514.8692611763,753.9092047679616,4.264301631127104,10.68085798076492,6.62527194267749,1.4502784233689523,F25,0.5329861111111112
6293.407943961053,600.6966976794893,1.0129633486326344,8.747258006463392,6.398090144387183,0.01288004359781647,F25,0.5329861111111112
45509.39301511067,846.2276618679883,4.387654014144338,10.725674023525801,6.740788427267144,1.478794691114771,F25,0.5329861111111112
41564.89189294938,224.25361066065219,4.121574702252799,10.635011145046358,5.412777601860131,1.4162352996227325,F25,0.5329861111111112
55950.41565101984,124.31746664778495,5.251424235970076,10.932221142685128,4.822838508739452,1.6584993228548608,F25,0.5329861111111112
39854.33645074785,439.35941887470716,4.235198337739137,10.592986497639192,6.085317799915556,1.4434301600036414,F25,0.5329861111111112
54049.392126284816,612.6956254366066,4.365914180069741,10.897653576496893,6.417868279893172,1.473827601514439,F25,0.5329861111111112
15326.109369345719,538.0963080545094,3.707636922675862,9.637313147701267,6.288037555394917,1.3103947256159407,F25,0.5329861111111112
14416.493536323334,615.042676811494,4.369641706864256,9.57612821457865,6.421691658588343,1.4746810164702804,F25,0.5329861111111112
62827.40313964256,267.04025612316565,5.072882741588804,11.048146613007608,5.587399419032169,1.6239092441027108,F25,0.5329861111111112
37835.97096271459,111.48697847534311,0.5795355215737195,10.541015541881519,4.713907799105776,-0.545528321146106,F25,0.5329861111111112
25670.412843499307,642.1741040563338,3.9212578250758647,10.153094356458856,6.464859457043468,1.3664124760772443,F25,0.5329861111111112
77819.50503213699,147.15585501459904,5.001072105900792,11.262147386098592,4.99149226331773,1.609652310629323,F25,0.5329861111111112
49930.05291873145,375.9089373360015,4.802416954795292,10.818378363352524,5.929346926121494,1.5691193234330414,F25,0.5329861111111112
85472.8325191127,8.684975398056059,5.586008865342813,11.355953856117688,2.1615945669954533,1.720265054586318,F25,0.5329861111111112
70283.64236057975,672.9158235472903,4.5698125627691315,11.160294367374991,6.511620245369253,1.5194721893536374,F25,0.5329861111111112
24356.212496498138,757.8263397061423,4.486793970328772,10.100542229296176,6.630454256104154,1.5011384089190731,F25,0.5329861111111112
12128.752022644232,914.930339054347,3.388525192687989,9.403334113103938,6.818847930196278,1.2203947803274935,F25,0.5329861111111112
80912.64749081864,181.39449881287814,3.4713664620397235,11.30112542569553,5.200674210941572,1.2445483095376377,F25,0.5329861111111112
40141.88862830254,676.5585623769932,3.936557121453309,10.600175672272426,6.5170190105707295,1.3703065142581288,F25,0.5329861111111112
27101.135632728012,925.2570377930957,4.213643744466643,10.207330911256507,6.83007157760653,1.438327770865316,F25,0.5329861111111112
92996.08909917553,820.9795169800482,5.121991966588745,11.440312718554116,6.710498160274024,1.633543419363129,F25,0.5329861111111112
59123.02042051773,763.2990578934671,4.624131383296198,10.987375643973982,6.637649904549067,1.5312885443090283,F25,0.5329861111111112
34925.619272258526,311.9801211427318,4.961293699127848,10.46097591545711,5.742939471493525,1.6016665331646005,F25,0.5329861111111112
5305.210605968094,452.27999117122965,4.364938081329039,8.57644474978281,6.114301437546459,1.4736040039284197,F25,0.5329861111111112
71540.87108943306,425.4715661549865,4.9366980072366085,11.17802418899598,6.053198121232946,1.596696688120131,F25,0.5329861111111112
40451.17986700877,652.5576943177648,3.783901122881281,10.60785109059051,6.480899555698362,1.330755520531443,F25,0.5329861111111112
56132.98825439473,180.6650686459378,4.549967406918354,10.935478944616328,5.1966448675992325,1.5151200696225549,F25,0.5329861111111112
24334.282894223397,621.4922828987524,4.04642683336269,10.099641453751316,6.432123493977058,1.39783422832782,F25,0.5329861111111112
86484.25667452478,492.7493267300276,4.17874509110382,11.367717672592557,6.2000005796798465,1.4300109840231103,F25,0.5329861111111112
77487.19182986113,230.28067042939713,3.846673967386577,11.257867934971921,5.439298871169521,1.3472088703441616,F25,0.5329861111111112
26641.713227212134,355.29337116406396,4.445873519683541,10.19023343291729,5.872943845842141,1.4919763670229864,F25,0.5329861111111112
64509.2279785196,386.67316957865495,3.7260126987709246,11.07456356198482,5.9575798131667135,1.3153386803246692,F25,0.5329861111111112
88313.4345753676,867.4054812859514,3.778385526121678,11.388647521965284,6.765506550594986,1.329296808902638,F25,0.5329861111111112
50981.007905946135,632.8020032405178,4.931309283388021,10.839208448349542,6.450157582125611,1.5956045275196107,F25,0.5329861111111112
92650.65125050604,344.1290759298822,4.659571960857822,11.436591260836195,5.841016807722108,1.5389235900255562,F25,0.5329861111111112
9641.335719531646,587.2474722736837,4.274010257959376,9.173814938123416,6.375446319185244,1.4525525569781599,F25,0.5329861111111112
6161.67126990293,228.7873756837095,4.158714568333303,8.726103329778827,5.4327930817758165,1.4252060285266521,F25,0.5329861111111112
83177.76965342936,681.0645928915936,4.2455041765824,11.328735399441735,6.523657151712607,1.4458605822237032,F25,0.5329861111111112
60357.095397645244,476.28619300924765,4.25220839408864,11.00803379041254,6.166018919373317,1.4474384701179948,F25,0.5329861111111112
44597.54926385923,457.4443384772414,4.867962552798288,10.705434187257566,6.125655212783227,1.582675482572745,F25,0.5329861111111112
12770.885374113077,76.38901184166836,4.498706737529473,9.454923278973489,4.33583886176687,1.50378996381126,F25,0.5329861111111112
3522.8967733368536,880.6130437735226,2.245600495404318,8.167038877127645,6.78061830558252,0.8089729666766255,F25,0.5329861111111112
60325.68770479235,429.5966626072233,4.325167104580258,11.00751329042481,6.062846774559319,1.4644507765346264,F25,0.5329861111111112
41733.26781839359,597.3178330836433,4.766880546246813,10.639053879131994,6.392449355451361,1.5616921174331193,F25,0.5329861111111112
19122.507722635743,366.6041993028263,4.105237422281662,9.858621335046678,5.904282790066749,1.4122635785721114,F25,0.5329861111111112
96611.32597118124,314.82679821539466,4.88069907213146,11.478451259406306,5.752022640669117,1.5852884620913532,F25,0.5329861111111112
23205.774869333636,916.8514762200697,3.61475555593652,10.052156443461381,6.820945492093752,1.2850242339431124,F25,0.5329861111111112
43470.47098445902,756.7640335371684,4.262912620802472,10.679837158625293,6.6290514922124295,1.4499526404588765,F25,0.5329861111111112
1642.3264468222803,541.0110023270448,0.36914942589617894,7.403869080740787,6.293439615658254,-0.9965537686828883,F25,0.5329861111111112
45664.860488725615,837.8566465273441,4.403483738172037,10.729084364018203,6.7308470196521055,1.4823959863241265,F25,0.5329861111111112
30698.29268108052,260.08938222953424,4.306218848384424,10.331962319034709,5.561025349743378,1.4600602217065075,F25,0.5329861111111112
50183.10931977431,82.98602073129763,5.2795592833137945,10.823433781328273,4.418672168687403,1.6638426251650764,F25,0.5329861111111112
29694.882618689237,392.54995695367944,4.233760288250423,10.298730007543991,5.972663807986073,1.4430905552030886,F25,0.5329861111111112
60054.59543237759,590.817801482472,4.509883225404053,11.003009351347426,6.381507681351686,1.5062712608077669,F25,0.5329861111111112
22677.06817231052,595.5570473320727,3.9530975158070953,10.029109480187214,6.389497181574121,1.3744994528205732,F25,0.5329861111111112
14416.493536323334,615.042676811494,4.369641706864256,9.57612821457865,6.421691658588343,1.4746810164702804,F25,0.5329861111111112
58857.53697492136,255.8991398411098,5.145845142360255,10.982875175429779,5.544783381851418,1.6381896205890816,F25,0.5329861111111112
47381.74584259307,66.98449989757457,0.5629750613424,10.765992324703674,4.204461247814307,-0.5745199478405956,F25,0.5329861111111112
37902.230909812584,572.0156170258662,3.7522331796414754,10.542765252393897,6.349166293499865,1.3223511773049432,F25,0.5329861111111112
94154.88863332185,86.56441203793723,4.937986967606078,11.452696456617511,4.460888784662616,1.5969577517145797,F25,0.5329861111111112
35244.50041674482,460.54778248993625,4.407163563457688,10.470064779522321,6.132416612505567,1.4832312996384927,F25,0.5329861111111112
